Performance Title,Event Dates,Playwright,Actress,Theatre,Genre,Politics,Monstrosity
The Chances,"1660, 1661, 1667, 1682, 1683, 1686",,,,,,
The Traytor,"1661, 1665, 1692, 1699",,,,,,
Philaster,"1661, 1662",,,,,,
The Law Against Lovers,1662,,,,,,
The Villain,"1662, 1663, 1667, 1671, 1676, 1688",,,,,,
The Slighted Maid,"1663, 1668",,,,,,
The Rivals,"1664, 1665, 1667",,,,,,
Macbeth,"1664, 1666, 1667, 1668, 1669, 1670, 1673, 1675, 1676, 1680, 1682, 1686",,,,,,
Mustapha,"1665, 1666, 1667, 1668, 1686",,,,,,
The Black Prince,"1667, 1668",,,,,,
The Tempest,"1667, 1668, 1669, 1670, 1674, 1676, 1677, 1682, 1697, 1698, 1700",,,,,,
She Would If She Could,"1668, 1669, 1670, 1674, 1676, 1680",,,,,,
The Mulberry Garden,1668,,,,,,
An Evening's Love,1668,,,,,,
The Island Princess,"1669, 1675, 1687, 1699, 1700",,,,,,
The Roman Empress,1670,,,,,,
Epsom Wells,"1672, 1673, 1676, 1680, 1682",,,,,,
The Amorous Widow,1673,,,,,,
The Spanish Rogue,1673,,,,,,
Amboyna,1673,,,,,,
The Reformation,1673,,,,,,
The Country Wife,"1675, 1676",,,,,,
Sophonisba,1675,,,,,,
Alcibiades,1675,,,,,,
The Virtuoso,"1676, 1700",,,,,,
The Cheats of Scapin,1676,,,,,,
The Plain Dealer,"1676, 1683, 1685, 1698, 1700",,,,,,
The Rover,1677,,,,,,
Circe,"1677, 1682, 1689, 1690",,,,,,
A Fond Husband,"1677, 1684, 1687",,,,,,
The French Conjuror,1677,,,,,,
The Constant Nymph,1677,,,,,,
Sir Patient Fancy,1678,,,,,,
Friendship in Fashion,1678,,,,,,
The Counterfeits,1678,,,,,,
Squire Oldsapp,1678,,,,,,
Oedipus,1678,,,,,,
The Woman Captain,1679,,,,,,
The Virtuous Wife,1679,,,,,,
The Loyal General,1679,,,,,,
The Loving Enemies,1680,,,,,,
The Rover,"1680, 1685, 1687, 1690",,,,,,
The Souldiers Fortune,1680,,,,,,
The Rover Part 2,1681,,,,,,
The London Cuckolds,"1681, 1682, 1694, 1700",,,,,,
The Royalist,1682,,,,,,
Venice Preserved,1682,,,,,,
The Atheist,1683,,,,,,
Valentinian,"1684, 1687",,,,,,
The Disappointment,1685,,,,,,
Sir Courtly Nice,"1685, 1686, 1689, 1690",,,,,,
Mithridates,1686,,,,,,
Bury Fair,1689,,,,,,
Don Sebastian,"1689, 1697",,,,,,
The Successful Strangers,1690,,,,,,
The Treacherous Brothers,1690,,,,,,
Amphitryon,1690,,,,,,
The Scowrers,1690,,,,,,
The Mistakes,1690,,,,,,
Greenwich Park,"1691, 1697",,,,,,
King Arthur,"1691, 1692, 1698",,,,,,
The Orphan,"1692, 1699",,,,,,
Regulus,1692,,,,,,
A Very Good Wife,1693,,,,,,
The Richmond Heiress,1693,,,,,,
The Lancashire Witches,"1694, 1697",,,,,,
Oroonoko,"1695, 1696, 1697, 1698",,,,,,
Cleomenes,1695,,,,,,
The Royal Mischief,1696,,,,,,
The Spanish Wives,"1696, 1699",,,,,,
The Relapse,1696,,,,,,
Aesop,"1696, 1697",,,,,,
The Mourning Bride,"1697, 1700",,,,,,
The Provok'd Wife,1697,,,,,,
The Innocent Mistress,1697,,,,,,
Heroick Love,1698,,,,,,
Caligula,1698,,,,,,
Fatal Friendship,1698,,,,,,
Phaeton,1698,,,,,,
Bonduca,1699,,,,,,
Xerxes,1699,,,,,,
Iphigenia,1699,,,,,,
The Constant Couple,1700,,,,,,
The Ambitious Stepmother,1700,,,,,,
Theodosius,1691,,,,,,
